institution,country_code,country_name,region_code,region_name,lat,lon
AUEB,gr,Greece,europe,Europe,37.9940338898775,23.732771540394
Aalborg University,dk,Denmark,europe,Europe,57.01590705,9.9753082435574
Aalto University,fi,Finland,europe,Europe,60.1860789,24.8281020744067
Aarhus University,dk,Denmark,europe,Europe,56.1670905,10.2026176935929
Aberystwyth University,uk,United Kingdom,europe,Europe,52.4181960583988,-4.0638425727573
American University in Cairo,eg,Egypt,africa,Africa,30.0200950444477,31.4991564997708
American University of Beirut,lb,Lebanon,asia,Asia,33.9000264,35.482383777521
Ariel University,il,Israel,europe,Europe,32.1032526549704,35.2078125421703
Australian National University,au,Australia,australasia,Australasia,-35.28121335,149.116778864645
BITS Pilani,in,India,asia,Asia,28.35866475,75.5882557813468
BITS Pilani-Goa,in,India,asia,Asia,15.3905132544127,73.8779362765171
BUET,bd,Bangladesh,asia,Asia,23.7237949959699,90.3922153996855
BUPT,cn,China,asia,Asia,39.9626973003545,116.358457049674
Babeș-Bolyai University,ro,Romania,europe,Europe,46.7677836,23.5919765542802
Bar-Ilan University,il,Israel,europe,Europe,32.0691389925568,34.8430582556269
Bauhaus University Weimar,de,Germany,europe,Europe,50.97571335,11.3301091944102
Beihang University,cn,China,asia,Asia,39.9809427,116.340978676549
Ben-Gurion University of the Negev,il,Israel,europe,Europe,31.2631254,34.8022385445842
Bielefeld University,de,Germany,europe,Europe,52.0376885,8.4932232835795
Bilkent University,tr,Turkey,europe,Europe,39.8742606234104,32.7476176558953
Birkbeck University of London,uk,United Kingdom,europe,Europe,51.5219430629579,-0.1305399071603
Bocconi University,it,Italy,europe,Europe,45.4497194,9.1887086720318
Boğaziçi University,tr,Turkey,europe,Europe,41.08475,29.051
Brandenburg University of Technology,de,Germany,europe,Europe,51.7668738845552,14.3270593983896
Brno University of Technology,cz,Czech Republic,europe,Europe,49.2014916076311,16.6032113025769
Brunel University London,uk,United Kingdom,europe,Europe,51.5326092,-0.4740498907267
Bundeswehr University Munich,de,Germany,europe,Europe,48.0826927067999,11.6323775676104
CISPA Helmholtz Center,de,Germany,europe,Europe,49.25934725,7.0511131271582
CMI,in,India,asia,Asia,12.8283096974062,80.2201080400772
CRIStAL,fr,France,europe,Europe,50.6069112216659,3.1375449037763
CWI,nl,Netherlands,europe,Europe,52.355525909143,4.9512999967886
Cardiff University,uk,United Kingdom,europe,Europe,51.4883511,-3.1774939616318
Carleton University,ca,Canada,northamerica,North America,45.3858581,-75.6950041168868
Chalmers/GU,se,Sweden,europe,Europe,57.6907665777087,11.9770490218487
Charles University,cz,Czech Republic,europe,Europe,50.0889154,14.4161372076889
Chinese Academy of Sciences,cn,China,asia,Asia,39.90933665,116.32971461229
Chinese University of Hong Kong,hk,Hong Kong,asia,Asia,22.419297694053,114.204314423352
